username,password_hash,token,deleted
fernanda70,$2b$12$rnmgyhjHLSBRKocr8KSRBO7s8tNeBNsWsA4owrIB1FeHoi6965c6q,449e717824767f8828689fb5a849716d3dfd3b10b292a9ab62492b7b2e0d0972,0
string,$2b$12$VLz..f4KcWYhHCj8NgaI.O9TdskUnGs5CQ4TM0y6QaTAdvLvJyzRG,54e5918f8a16511e816064cd7b4bf539269cceb4d2ecea548691cb65264656ee,0
luancardoso,$2b$12$/.Pu/2BPNifx8CUQ6Jask.s5UCbLuI0TZtDMejMJTDswySvSSdqxe,ef5c9ab84fae35c4eec6332d6c379395b6f3475a3774dcd063bf03b069d3d956,0
elisa66,$2b$12$KgtwW.utTtFH8G9LDyh2NuHVnALwlww6pcpXS79eiNyBpXPomGPPe,642485b27993697e31452a7eebb5c8a676c3b8bc7c7634011a64c1e9d9db6f24,0
saleslevi,$2b$12$uANgqDFCm17tjR4XemJPE.1NmDf1rmctMozedEGbRA.DSqRRL2svy,ff8f943b5bc5711a78fd2512ec07afa7d6b4ad85ffacb30a4fd182034ba96553,0
fernandoda-costa,$2b$12$8uKHG3g/Ol7n/S1300H/tubA0/rXMLKJVCL1jDD4O1J8mnSm6Rfn2,246744d16a06da65679582a8ab5d17faf27d93e6738cc79f4b69f7aaa3b3d484,0
lorenzo61,$2b$12$sWwn2oXI4VwCA9LXpY.Hu.vthwwkXIAiGBEqx9QIV62gTXxHpCpYa,fda1c070bbf87cfd35ffe050b1cbbd1333f9a1a3eda2e0502ba2bead3020535c,0
xaragao,$2b$12$aNarbaqOJeEKg8N3XABQYOx5kvMYf0RGDnoR6UOIbMJ1lja5gEX1q,51ef59bc945e019318cc8a235c8d8785bfe97181e1ca0f29e67716c3a8bc6adf,0
theodorosampaio,$2b$12$FlvF090V2/KKYiVnaE2K5uINq0JqBehdNBeYMtjVC8u6NrIq/isTa,00f63129ff9ff8a9994628e60aeebd4f39cb70eabe25f1b35d67dc4a726c0e62,0
fonsecabeatriz,$2b$12$Pp6nktNXJWyf4WEFvWfsqu0sxFT.h.LYyz1ldhZS8rGNr1EI3xdpC,8058a5fe6988ac51eb05f0c57326db6e2c07b16dd8df6feeed0c3abc720cd703,0
